Species,Longitude,Latitude
Pinus_pungens,-84.014444,34.646389
Pinus_pungens,-83.83,35.56
Pinus_pungens,-83.818889,35.730833
Pinus_pungens,-83.76,34.69
Pinus_pungens,-83.7,35.29
Pinus_pungens,-83.684411,35.645792
Pinus_pungens,-83.547364,35.653032
Pinus_pungens,-83.45,34.75
Pinus_pungens,-83.3,34.7
Pinus_pungens,-83.180237,35.740382
Pinus_pungens,-83.148333,34.766389
Pinus_pungens,-83.129253,35.084869
Pinus_pungens,-83.013603,35.16375
Pinus_pungens,-82.96,35.97
Pinus_pungens,-82.827942,35.362687
Pinus_pungens,-82.68687,35.037551
Pinus_pungens,-82.594383,35.106093
Pinus_pungens,-82.45,36.1
Pinus_pungens,-82.39,34.94
Pinus_pungens,-82.351452,36.277247
Pinus_pungens,-82.2794,35.1662
Pinus_pungens,-82.256389,35.433889
Pinus_pungens,-82.222337,35.717412
Pinus_pungens,-82.186195,35.828983
Pinus_pungens,-82.1,36.33
Pinus_pungens,-82.02,35.76
Pinus_pungens,-81.894885,35.90494
Pinus_pungens,-81.832397,36.012234
Pinus_pungens,-81.388333,36.284722
Pinus_pungens,-81.34,36.76
Pinus_pungens,-81.228333,37.011944
Pinus_pungens,-81.161911,36.432995
Pinus_pungens,-81.11,35.97
Pinus_pungens,-81.04573,36.394597
Pinus_pungens,-80.56,37.24
Pinus_pungens,-80.476312,36.339908
Pinus_pungens,-80.26,36.4
Pinus_pungens,-80.24138,37.62833
Pinus_pungens,-79.795203,37.903506
Pinus_pungens,-79.74,37.44
Pinus_pungens,-79.56,37
Pinus_pungens,-79.516667,37.333333
Pinus_pungens,-79.487836,39.193075
Pinus_pungens,-79.47,38.28
Pinus_pungens,-79.365218,38.836376
Pinus_pungens,-79.311806,39.042389
Pinus_pungens,-79.22,38.48
Pinus_pungens,-78.95,37.93
Pinus_pungens,-78.77,38.39
Pinus_pungens,-78.65,39.72
Pinus_pungens,-78.546894,39.815256
Pinus_pungens,-78.497392,39.33758
Pinus_pungens,-78.450794,40.578246
Pinus_pungens,-78.43,39.77
Pinus_pungens,-78.339302,39.874374
Pinus_pungens,-78.331005,38.960394
Pinus_pungens,-78.32151,39.70372
Pinus_pungens,-78.31,38.74
Pinus_pungens,-77.990942,40.50454
Pinus_pungens,-77.9,40.67
Pinus_pungens,-77.83797,39.139212
Pinus_pungens,-77.7133,38.8236
Pinus_pungens,-77.6,40.18
Pinus_pungens,-77.58,40.28
Pinus_pungens,-77.53,39.85
Pinus_pungens,-77.47,38.55
Pinus_pungens,-77.4656,38.9161
Pinus_pungens,-77.46,39.65
Pinus_pungens,-77.435774,41.022074
Pinus_pungens,-77.3908,39.2625
Pinus_pungens,-77.39,39.1
Pinus_pungens,-77.18,40.84
Pinus_pungens,-77.1708,38.8667
Pinus_pungens,-77.0367,38.895
Pinus_pungens,-77.0047,39.0336
Pinus_pungens,-76.8811,38.9456
Pinus_pungens,-76.862194,40.798972
Pinus_pungens,-76.835143,39.414723
Pinus_pungens,-76.35,39.85
Pinus_pungens,-76.215955,40.705801
Pinus_pungens,-74.98,40.42
Pinus_pungens,-74.912219,40.567285
Pinus_pungens,-74.37071,39.71033
Pinus_pungens,-73.88,40.85
